Study,Study_Type,Predictor,Outcome,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r,Control_Setting
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_External,Attributional,Maladaptive,Small_Groups,Researcher,between_groups,post,cohen_d_to_fisher_z,106,-0.10118705691875722,-0.1004555842181397,-0.050528900247851866,-0.05057196919791046,0.0985329278164293,0.009708737864077669,-0.24369295900939678,0.14254902061357586,-0.23898085675326533,0.14159126196649804,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_External,Attributional,Maladaptive,Classroom,Teacher,between_groups,post,cohen_d_to_fisher_z,106,-0.020566164307105575,-0.020417493239825293,-0.01028253852096783,-0.010282900936942934,0.0985329278164293,0.009708737864077669,-0.20340389074842924,0.1828380888745434,-0.20064439660834704,0.180827557682369,Classroom
Craven et al. (1991),Experimental,Feedback_Attributional,Attributions_Success_External,Attributional,Maladaptive,Classroom,Teacher_Researcher,between_groups,post,cohen_d_to_fisher_z,106,0.3218478465610187,0.3195212356220234,0.1588798554419819,0.16023733338636942,0.0985329278164293,0.009708737864077669,-0.0328836564251169,0.35335832319785576,-0.03287180880158552,0.33935050640562103,Classroom
"Koenka, 2022",Experimental,Feedback_Performance,Self-Efficacy,Performance,,Classroom,Grades_Written_Comments,between_groups,change_scores,cohen_d_to_fisher_z,91,-0.396196639678603,-0.39284849906160074,-0.19432212444117386,-0.19682501951227613,0.10660035817780522,0.011363636363636364,-0.4057578822798442,0.012107843255291934,-0.38486482090334184,0.012107251620576485,Classroom
"Koenka, 2022",Experimental,Feedback_Performance,Self-Efficacy,Performance,,Classroom,Grades,between_groups,change_scores,cohen_d_to_fisher_z,67,-0.05109464853024809,-0.05050281862449232,-0.025538991411706204,-0.025544546103617564,0.125,0.015625,-0.2705400441711243,0.2194509519638892,-0.26412727604359154,0.21599469070269792,Classroom
"Koenka, 2022",Experimental,Feedback_Performance,Self-Efficacy,Performance,,Classroom,Written_Comments,between_groups,change_scores,cohen_d_to_fisher_z,57,0.01625167858036545,0.01602905284638784,0.00812557103187278,0.008125749868974838,0.13608276348795434,0.018518518518518517,-0.2585915654840979,0.2748430652220476,-0.2529777051239372,0.26812553561903585,Classroom
Rakoczy et al. (2017),Experimental,Feedback_Formative,Self-Efficacy,Formative,,Classroom,Written_Process_Feedback,between_groups,change_scores,cohen_d_to_fisher_z,620,0.37065462718422615,0.37020462156643874,0.18222437363139846,0.18428250088738873,0.04025848411142373,0.0016207455429497568,0.10537732195682023,0.2631876798179572,0.10498899676831311,0.257274652243722,Classroom
Koponen et al. (2021),Experimental,Feedback_Self-Efficacy,Self-Efficacy,Self-Efficacy,,Small_Groups,Self-Efficacy+Skill,between_groups,change_scores,cohen_d_to_fisher_z,79,0.6428735001261499,0.636591348659119,0.30601623756039925,0.3161440898174353,0.11470786693528089,0.013157894736842105,0.09132080188087185,0.5409673777539987,0.09106778957481643,0.49371988642631404,Small_Groups
Koponen et al. (2021),Experimental,Feedback_Self-Efficacy,Self-Efficacy,Self-Efficacy,,Small_Groups,Skill,between_groups,change_scores,cohen_d_to_fisher_z,83,0.4207608718234489,0.4168528761099184,0.20587378268425396,0.20885865075762441,0.11180339887498948,0.0125,-0.010271984386520966,0.42798928590176977,-0.010271623123534452,0.40363955715100075,Small_Groups
Koponen et al. (2021),Experimental,Feedback_Self-Efficacy,Self-Efficacy,Self-Efficacy,,Small_Groups,Self-Efficacy+Skill_low,between_groups,change_scores,cohen_d_to_fisher_z,25,0.8182715748347937,0.7912955888512291,0.3786684270178318,0.39850426548979545,0.21320071635561044,0.045454545454545456,-0.019361460045340673,0.8163699910249316,-0.019359041089488264,0.6730892863911847,Small_Groups
Koponen et al. (2021),Experimental,Feedback_Self-Efficacy,Self-Efficacy,Self-Efficacy,,Small_Groups,Skill_low,between_groups,change_scores,cohen_d_to_fisher_z,29,0.015082269568609679,0.014659402197527165,0.007540920366132039,0.007541063310361235,0.19611613513818404,0.038461538461538464,-0.37683949834766967,0.39192162496839217,-0.35995961029292906,0.3730156612040518,Small_Groups
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Easy_Tasks,Attributional,,Individual,Attributions_Past+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,0.9064654711512798,0.8681641132153103,0.4128117871518816,0.43899588465894857,0.24253562503633297,0.058823529411764705,-0.03636520538017507,0.9143569746980722,-0.03634918373120559,0.7232169006375045,Individual
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Easy_Tasks,Attributional,,Individual,Attributions_Future+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,1.0071894445550391,0.9646321440808826,0.44978022166693066,0.48442472864211106,0.24253562503633297,0.058823529411764705,0.009063638602987423,0.9597858186812347,0.009063390419881074,0.7441813161377028,Individual
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Easy_Tasks,Attributional,,Individual,Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,1.0089402088235375,0.966308932394374,0.4504035632354028,0.48520642930073904,0.24253562503633297,0.058823529411764705,0.009845339261615405,0.9605675193398626,0.00984502116872281,0.7445299035595345,Individual
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Hard_Tasks,Attributional,,Individual,Attributions_Past+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,1.349123354636694,1.2921181424689465,0.5592231932038232,0.6317021914280015,0.24253562503633297,0.058823529411764705,0.1563411013888779,1.1070632814671253,0.1550796420557459,0.8030218553263296,Individual
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Hard_Tasks,Attributional,,Individual,Attributions_Future+Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,0.5635556762451177,0.5397434645727889,0.2712163564865969,0.2781762897250296,0.24253562503633297,0.058823529411764705,-0.19718480031409402,0.7535373797641532,-0.19466829531154814,0.6372545633616099,Individual
Schunk (1982),Experimental,Feedback_Attributional,Persistence_Hard_Tasks,Attributional,,Individual,Monitoring,between_groups,change_scores,cohen_d_to_fisher_z,20,0.6286509919624924,0.6020882739922463,0.2998611359519536,0.30936701333244315,0.24253562503633297,0.058823529411764705,-0.16599407670668048,0.7847281033715667,-0.16448609282703727,0.6554121448389197,Individual
